1	0.0354907443
2	0.0868585681
3	0.0767797430
4	0.0521396207
5	0.0775823237
6	0.1061546477
7	0.1507389816
8	0.1055063411
9	0.0957284544
10	0.0980791097
11	0.0937025051
12	0.1246405008
13	0.0954295744
14	0.0868252478
15	0.0858330394
16	0.0854009431
17	0.0995224158
18	0.1060188389
19	0.1057975756
20	0.0996098782
21	0.1064889605
22	0.1020871117
23	0.0977975491
24	0.0944165729
25	0.1038482299
26	0.0952339724
27	0.1104147970
28	0.1057613819
29	0.1008107661
30	0.0919708088
31	0.1117268572
32	0.1092207251
33	0.1069808730
34	0.1142512486
35	0.1141318294
36	0.1038988887
37	0.0963945834
38	0.1080366216
39	0.1019224717
40	0.1041669880
41	0.1172303836
42	0.1149843899
43	0.1113705330
44	0.1069013061
45	0.1018937478
46	0.0899270102
47	0.0893388415
48	0.0904322630
49	0.1036797308
50	0.0931072745
51	0.0921212792
52	0.0892595974
53	0.0890953743
54	0.0961713414
55	0.0918746834
56	0.0879090062
57	0.0852605621
58	0.0857766459
59	0.0844573419
60	0.0876461071
61	0.1081013268
62	0.0951020189
63	0.0894201125
64	0.0872083438
65	0.0871324766
66	0.0870968168
67	0.0864570805
68	0.0845074480
69	0.0826517070
70	0.0813917549
71	0.0803098427
72	0.0815774720
73	0.0832225403
74	0.0820705930
75	0.0810241650
76	0.0815275622
77	0.0881321333
78	0.0842998199
79	0.0853864416
80	0.0824989397
81	0.0824370943
82	0.0824432234
83	0.0813172657
84	0.0807755787
85	0.0797368113
86	0.0797295973
87	0.0797306252
88	0.0787170452
89	0.0812652408
90	0.0807264701
91	0.0806971652
92	0.0807021743
93	0.0801674587
94	0.0791354866
95	0.0796056556
96	0.0796063391
97	0.0795961076
98	0.0795950928
99	0.0795966579
100	0.0790960905
